bundesland_short,union_pct,spd_pct,gruene_pct,fdp_pct,afd_pct,linke_pct
SH,22.0,28.0,18.3,12.5,6.8,3.3
HH,15.5,29.7,24.9,11.4,5.0,6.9
NI,24.2,33.1,16.1,10.5,7.4,3.2
HB,17.0,31.5,20.6,9.7,6.9,6.7
NW,26.0,29.1,16.1,11.4,7.3,3.7
HE,22.8,27.6,15.8,12.8,8.8,4.3
RP,24.7,29.4,12.8,11.7,9.2,3.8
BW,24.8,21.6,17.2,15.3,9.6,3.3
BY,31.7,18.0,14.1,10.5,9.0,2.8
SL,23.6,37.3,10.1,11.5,10.0,4.7
BE,15.9,23.4,22.4,9.1,8.4,11.4
BB,15.3,29.5,9.0,9.3,18.1,8.5
MV,17.4,29.1,7.8,8.2,18.0,11.1
SN,17.2,19.3,8.6,11.0,24.6,9.3
ST,21.0,25.4,6.5,9.5,19.6,9.6
TH,16.9,23.4,6.6,9.1,24.0,11.4
